user,activity,timestamp,ax,ay,az
1600,Downstairs,241602700891426.0,3.975113,4.524292,6.9846954
1600,Downstairs,241607736291816.0,4.033554,4.6074677,6.900696
1600,Downstairs,241612771705626.0,4.1152954,4.662262,6.7654266
1600,Downstairs,241617807106017.0,4.171875,4.7397003,6.700165
1600,Downstairs,241622842516425.0,4.1544037,4.6283264,6.7285004
1600,Downstairs,241627877916816.0,4.2948914,4.423065,6.749237
1600,Downstairs,241632913302705.0,4.4124603,4.1483765,6.88562
1600,Downstairs,241637948703096.0,4.4121704,4.171982,6.8545685
1600,Downstairs,241642984123110.0,4.425827,4.1440735,6.8531036
1600,Downstairs,241648019523500.0,4.429184,4.1868134,6.89563
1600,Downstairs,241653054911851.0,4.494568,4.268036,6.770233
1600,Downstairs,241658090312242.0,4.3993835,4.131775,6.9018707
1600,Downstairs,241663125699355.0,4.409622,4.175705,6.8930206
1600,Downstairs,241668161099746.0,4.451004,4.178711,6.798523
1600,Downstairs,241673196528830.0,4.4015503,4.1572266,6.9216003
1600,Downstairs,241678231929221.0,4.432602,4.210968,6.84848
1600,Downstairs,241683267309358.0,4.462616,4.22258,6.786148
1600,Downstairs,241688302709748.0,4.3908844,4.1448364,6.8389893
1600,Downstairs,241693338124759.0,4.4166565,4.161316,6.8911285
1600,Downstairs,241698373525150.0,4.463684,4.217407,6.8245087
1600,Downstairs,241703408921969.0,4.405884,4.137985,6.9110107
1600,Downstairs,241708444322360.0,4.454361,4.193039,6.831543
1600,Downstairs,241713479715954.0,4.413025,4.148987,6.9139557
1600,Downstairs,241718515116345.0,4.3923798,4.1934357,6.9031525
1600,Downstairs,241723550527629.0,4.4059296,4.144684,6.8182526
1600,Downstairs,241728585928019.0,3.2381897,5.594467,6.8945313
1600,Downstairs,241733621306948.0,4.2981567,4.281708,6.8012543
1600,Downstairs,241738656707339.0,4.370117,4.31662,6.8393097
1600,Downstairs,241743692125694.0,4.356125,4.3372345,6.798233
1600,Downstairs,241748727526085.0,4.3006744,4.258667,6.8726196
1600,Downstairs,241753762926673.0,4.3632355,4.3343964,6.822586
1600,Downstairs,241758798327064.0,4.403427,4.3504333,6.852478
1600,Downstairs,241763833708173.0,4.352783,4.3611298,6.8065033
1600,Downstairs,241768869108563.0,4.357666,4.353485,6.7963257
1600,Downstairs,241773904523282.0,4.3486023,4.3242493,6.7985535
1600,Sitting,241892739970017.0,-2.1966095,9.497971,0.7346649
1600,Sitting,241897775370407.0,-2.2709198,9.481537,0.6047821
1600,Sitting,241902810786961.0,-2.2599945,9.550278,0.62480164
1600,Sitting,241907846187352.0,-2.326416,9.544678,0.5874939
1600,Sitting,241912881562658.0,-2.1960907,9.507095,0.6966095
1600,Sitting,241917916963049.0,-2.3318634,9.49379,0.5494232
1600,Sitting,241922952372444.0,-2.3560638,9.50795,0.6623993
1600,Sitting,241927987772835.0,-2.3356934,9.471619,0.595459
1600,Sitting,241933023179061.0,-2.2794495,9.593552,0.4678955
1600,Sitting,241938058579451.0,-2.2868652,9.542297,0.6258545
1600,Sitting,241943093987680.0,-2.1849365,9.547333,0.719223
1600,Sitting,241948129388071.0,-2.1905975,9.511398,0.7296753
1600,Sitting,241953164767520.0,-2.2197876,9.459946,1.039154
1600,Sitting,241958200167911.0,-2.2917786,9.473755,0.8214569
1600,Sitting,241963235563919.0,-2.2233582,9.456894,1.0102081
